model,seed,missing_rate,acc,f1
dropout_only_fusion,42,0.25,0.6749271137026239,0.6626323751891074
dropout_only_fusion,42,0.5,0.5685131195335277,0.6175710594315246
dropout_only_fusion,42,0.75,0.5233236151603499,0.6045949214026602
dropout_only_fusion,123,0.0,0.7580174927113703,0.717687074829932
dropout_only_fusion,123,0.25,0.6632653061224489,0.6597938144329897
dropout_only_fusion,123,0.5,0.565597667638484,0.618925831202046
dropout_only_fusion,123,0.75,0.5160349854227405,0.6
dropout_only_fusion,2024,0.0,0.7551020408163265,0.7181208053691275
dropout_only_fusion,2024,0.25,0.6632653061224489,0.6627737226277373
dropout_only_fusion,2024,0.5,0.5670553935860059,0.623574144486692
dropout_only_fusion,2024,0.75,0.5189504373177842,0.6052631578947368
gating_only_no_dropout,42,0.0,0.760932944606414,0.7220338983050848
gating_only_no_dropout,42,0.25,0.7303206997084548,0.6516007532956686
gating_only_no_dropout,42,0.5,0.6909620991253644,0.5181818181818182
gating_only_no_dropout,42,0.75,0.6559766763848397,0.3854166666666667
gating_only_no_dropout,123,0.0,0.7638483965014577,0.73
gating_only_no_dropout,123,0.25,0.7317784256559767,0.6592592592592592
gating_only_no_dropout,123,0.5,0.6938775510204082,0.527027027027027
gating_only_no_dropout,123,0.75,0.6516034985422741,0.38242894056847543
gating_only_no_dropout,2024,0.0,0.7521865889212828,0.7266881028938906
gating_only_no_dropout,2024,0.25,0.7230320699708455,0.6594982078853047
gating_only_no_dropout,2024,0.5,0.6880466472303207,0.5327510917030568
gating_only_no_dropout,2024,0.75,0.6428571428571429,0.38902743142144636
imputation_baseline_post2023,42,0.0,0.7944606413994169,0.7344632768361582
imputation_baseline_post2023,42,0.25,0.6909620991253644,0.6656151419558359
imputation_baseline_post2023,42,0.5,0.5845481049562682,0.6235138705416117
imputation_baseline_post2023,42,0.75,0.5393586005830904,0.6108374384236454
imputation_baseline_post2023,123,0.0,0.7711370262390671,0.7396351575456053
imputation_baseline_post2023,123,0.25,0.6880466472303207,0.6880466472303207
imputation_baseline_post2023,123,0.5,0.5830903790087464,0.6352040816326531
imputation_baseline_post2023,123,0.75,0.5349854227405247,0.6142684401451027
imputation_baseline_post2023,2024,0.0,0.7638483965014577,0.7272727272727273
imputation_baseline_post2023,2024,0.25,0.6749271137026239,0.6734992679355783
imputation_baseline_post2023,2024,0.5,0.577259475218659,0.631979695431472
imputation_baseline_post2023,2024,0.75,0.5306122448979592,0.6139088729016786
attention_gated_fusion_full,42,0.0,0.7755102040816326,0.7407407407407407
attention_gated_fusion_full,42,0.25,0.6807580174927114,0.6793557833089312
attention_gated_fusion_full,42,0.5,0.5787172011661808,0.6346396965865992
attention_gated_fusion_full,42,0.75,0.5306122448979592,0.6184834123222749
attention_gated_fusion_full,123,0.0,0.7623906705539358,0.7296849087893864
attention_gated_fusion_full,123,0.25,0.673469387755102,0.6763005780346821
attention_gated_fusion_full,123,0.5,0.5743440233236151,0.6313131313131313
attention_gated_fusion_full,123,0.75,0.5247813411078717,0.6109785202863962
attention_gated_fusion_full,2024,0.0,0.7784256559766763,0.7475083056478405
attention_gated_fusion_full,2024,0.25,0.6793002915451894,0.6820809248554913
attention_gated_fusion_full,2024,0.5,0.5787172011661808,0.6346396965865992
attention_gated_fusion_full,2024,0.75,0.5306122448979592,0.6139088729016786
