model,seed,missingness_rate,accuracy,f1,n_test,best_val_f1
dropout_only_fusion,7,0.75,0.591972526293196,0.6897339644197813,4659,0.7582005623242737
gating_only_no_dropout,7,0.0,0.7269800386349002,0.7630402384500745,4659,0.7625964593735814
gating_only_no_dropout,7,0.25,0.6849109250912213,0.7091917591125199,4659,0.7625964593735814
gating_only_no_dropout,7,0.5,0.6426271732131359,0.6415500538213132,4659,0.7625964593735814
gating_only_no_dropout,7,0.75,0.6164412964155398,0.5758366959411346,4659,0.7625964593735814
attention_gated_fusion_full,7,0.0,0.716248121914574,0.7611994219653179,4659,0.7603890362511052
attention_gated_fusion_full,7,0.25,0.6625885383129427,0.7316490269716627,4659,0.7603890362511052
attention_gated_fusion_full,7,0.5,0.613650998068255,0.7058823529411765,4659,0.7603890362511052
attention_gated_fusion_full,7,0.75,0.5855333762610002,0.6944136730495332,4659,0.7603890362511052
imputation_baseline_post2023,7,0.0,0.7265507619660871,0.7565915170042032,4659,0.7549607752653438
imputation_baseline_post2023,7,0.25,0.6694569650139515,0.6622807017543859,4659,0.7549607752653438
imputation_baseline_post2023,7,0.5,0.631680618158403,0.5642458100558659,4659,0.7549607752653438
imputation_baseline_post2023,7,0.75,0.5966945696501396,0.4583453444796771,4659,0.7549607752653438
hard_mask_gated_fusion,7,0.0,0.7254775702940545,0.763542244407469,4659,0.7572202166064982
hard_mask_gated_fusion,7,0.25,0.6861987550976605,0.7120913745569122,4659,0.7572202166064982
hard_mask_gated_fusion,7,0.5,0.6509980682549903,0.6572512647554806,4659,0.7572202166064982
hard_mask_gated_fusion,7,0.75,0.62631465979824,0.6063757630567488,4659,0.7572202166064982
early_fusion,99,0.0,0.7308435286542176,0.7626797880393641,4659,0.7599261311172668
early_fusion,99,0.25,0.6716033483580167,0.7252155172413793,4659,0.7599261311172668
early_fusion,99,0.5,0.621807254775703,0.7007472826086957,4659,0.7599261311172668
early_fusion,99,0.75,0.5820991629104958,0.6797170587267642,4659,0.7599261311172668
late_fusion,99,0.0,0.7381412320240395,0.7658349328214972,4659,0.759981211836543
late_fusion,99,0.25,0.678686413393432,0.7323440014303594,4659,0.759981211836543
late_fusion,99,0.5,0.622236531444516,0.705685618729097,4659,0.759981211836543
late_fusion,99,0.75,0.5851040995921871,0.6881755121793838,4659,0.759981211836543
fixed_weight_fusion,99,0.0,0.7164627602489805,0.7555062002591153,4659,0.75625
fixed_weight_fusion,99,0.25,0.6619446233097231,0.7263249348392702,4659,0.75625
fixed_weight_fusion,99,0.5,0.6106460613865636,0.7013500164636154,4659,0.75625
fixed_weight_fusion,99,0.75,0.5784503112255849,0.6872611464968152,4659,0.75625
dropout_only_fusion,99,0.0,0.7385705086928526,0.7608012568735271,4659,0.7674858223062382
dropout_only_fusion,99,0.25,0.6782571367246191,0.7276031255678721,4659,0.7674858223062382
dropout_only_fusion,99,0.5,0.617729126421979,0.6987992558768814,4659,0.7674858223062382
dropout_only_fusion,99,0.75,0.5868212062674394,0.6875507222853433,4659,0.7674858223062382
gating_only_no_dropout,99,0.0,0.7355655720111612,0.7597503900156006,4659,0.7606837606837606
gating_only_no_dropout,99,0.25,0.6846962867568148,0.6803046789989119,4659,0.7606837606837606
gating_only_no_dropout,99,0.5,0.6370465765185662,0.5872589699780327,4659,0.7606837606837606
gating_only_no_dropout,99,0.75,0.613650998068255,0.5156081808396125,4659,0.7606837606837606
attention_gated_fusion_full,99,0.0,0.7402876153681047,0.7645914396887159,4659,0.7572446555819478
attention_gated_fusion_full,99,0.25,0.700364885168491,0.7095297544735747,4659,0.7572446555819478
attention_gated_fusion_full,99,0.5,0.6546469199399013,0.6339021615472128,4659,0.7572446555819478
attention_gated_fusion_full,99,0.75,0.6344709165056879,0.5814696485623003,4659,0.7572446555819478
imputation_baseline_post2023,99,0.0,0.703584460184589,0.7539640121147336,4659,0.7606499780412824
imputation_baseline_post2023,99,0.25,0.6527151749302426,0.7224699828473413,4659,0.7606499780412824
imputation_baseline_post2023,99,0.5,0.6042069113543679,0.6995764092538286,4659,0.7606499780412824
imputation_baseline_post2023,99,0.75,0.5752307362094871,0.6867183789773627,4659,0.7606499780412824
hard_mask_gated_fusion,99,0.0,0.7413608070401374,0.7647862580519227,4659,0.7604705882352941
hard_mask_gated_fusion,99,0.25,0.682335265078343,0.7320782041998551,4659,0.7604705882352941
hard_mask_gated_fusion,99,0.5,0.623095084782142,0.7035786630654963,4659,0.7604705882352941
hard_mask_gated_fusion,99,0.75,0.5893968662803176,0.6896999188969992,4659,0.7604705882352941
